equipment_id,equipment_type,room_id,room_type,installation_date,age_months,week_of_year,is_exam_period,academic_usage_multiplier,daily_usage_hours,total_usage_hours,last_maintenance_days,maintenance_count,room_temperature,dust_factor,humidity,operating_temperature,power_consumption,vibration_level,dust_accumulation,humidity_level,usage_per_day,usage_vs_capacity,maintenance_frequency,maintenance_overdue,temperature_stress,environmental_stress,age_category,is_projector,is_air_conditioner,is_podium,failure_probability_clean,maintenance_urgency_clean,equipment_type_encoded,room_type_encoded,age_category_encoded,operating_hours,temperature,vibration,pressure,failure_probability,risk_level,health_score
P1017,Podium,CLASSROOM132,classroom,2022-09-11,12,36,True,1.0,7.09,2041.38,22,2,27.46,0.8,0.8,36.43,154.74,15.33,14.43,80.0,5.6547922437673135,0.2954166666666666,0.1538461538461538,0,8.969999999999999,0.233152,new,0,0,1,0.2728910958067075,medium,1,0,1,0,0,0,0,0.0,Low,95.4931506849315
A1018,air_conditioner,CLASSROOM580,classroom,2020-05-19,48,17,False,0.1,0.48,553.85,35,8,30.61,0.8,0.8,29.98,2071.22,21.37,22.23,80.0,0.384351145038168,0.02,0.1632653061224489,0,-0.629999999999999,0.191872,mature,0,1,0,0.2929217719289134,medium,0,0,0,0,0,0,0,0.0,Low,85.6027397260274
P1019,Projector,CLASSROOM706,classroom,2022-08-01,33,16,True,1.0,2.75,2180.74,253,5,28.31,1.5,0.4,54.39,336.42,32.9,82.01,40.0,2.2005449041372347,0.1145833333333333,0.1470588235294117,1,26.08,0.3263400000000001,young,1,0,0,0.5219057688149747,high,2,0,2,0,0,0,0,1.0,Critical,49.421232876712324
A1020,air_conditioner,CLASSROOM891,classroom,2021-03-22,32,45,False,0.2,1.74,1338.08,151,5,26.84,1.5,0.4,36.68,2258.72,18.02,43.27,40.0,1.392382934443288,0.0725,0.1515151515151515,0,9.84,0.22008,young,0,1,0,0.5031317430612284,high,0,0,2,0,0,0,0,0.0,Low,81.65753424657534
P1021,Podium,SEMINAR507,seminar_room,2019-05-13,58,7,False,1.0,2.05,2856.17,36,9,30.79,2.0,0.3,36.27,177.73,32.04,92.56,30.0,1.640534175761057,0.0854166666666666,0.1525423728813559,0,5.480000000000004,0.21762,mature,0,0,1,0.3647091290009146,medium,1,3,0,0,0,0,0,0.0,Low,83.03424657534246
P1022,Projector,LECTURE826,lecture_hall,2023-05-16,25,23,False,1.0,3.55,2130.25,190,4,27.72,0.8,0.8,50.46,319.48,32.83,40.2,80.0,2.8365512649800264,0.1479166666666666,0.1538461538461538,1,22.74,0.3229440000000001,young,1,0,0,0.5046833148790405,high,2,2,2,0,0,0,0,1.0,Critical,55.736301369863014
A1023,air_conditioner,LECTURE976,lecture_hall,2020-09-29,47,32,False,1.0,9.0,10146.5,144,7,31.86,0.8,0.8,49.64,2307.23,35.37,52.26,80.0,7.190999291282778,0.375,0.1458333333333333,0,17.78,0.3176960000000001,mature,0,1,0,0.5517020765942685,high,0,2,0,0,0,0,0,0.0,Low,78.38698630136986
P1024,Projector,LECTURE216,lecture_hall,2024-06-23,9,12,False,1.0,8.88,1919.16,129,1,27.04,1.5,0.4,49.83,345.56,20.21,52.24,40.0,7.081771217712177,0.37,0.1,0,22.79,0.29898,new,1,0,0,0.4282877813292177,high,2,2,1,0,0,0,0,0.0,Low,88.91438356164383
A1025,air_conditioner,CLASSROOM889,classroom,2024-08-22,3,47,False,0.2,0.9,64.47,144,1,26.95,1.5,0.4,25.18,1993.2,5.8,14.57,40.0,0.7084615384615385,0.0375,0.25,0,-1.7699999999999996,0.15108,new,0,1,0,0.2570599861767473,medium,0,0,1,0,0,0,0,0.0,Low,89.38698630136986
P1026,Podium,LECTURE317,lecture_hall,2020-04-28,48,14,False,1.0,10.07,11599.64,100,8,27.04,1.5,0.4,48.34,192.1,44.91,123.5,40.0,8.04971547536433,0.4195833333333333,0.1632653061224489,0,21.300000000000004,0.2900400000000001,mature,0,0,1,0.5153040265402081,high,1,2,0,0,0,0,0,1.0,Critical,56.150684931506845
A1027,air_conditioner,SEMINAR424,seminar_room,2022-11-02,16,8,False,1.0,2.71,1038.98,247,2,31.67,2.0,0.3,36.84,2209.8,19.36,50.37,30.0,2.16004158004158,0.1129166666666666,0.1176470588235294,1,5.170000000000002,0.22104,young,0,1,0,0.4503159592147802,high,0,3,2,0,0,0,0,0.0,Low,79.08219178082192
P1028,Projector,SEMINAR526,seminar_room,2022-11-25,12,47,False,0.2,1.17,337.6,168,2,31.43,1.5,0.4,41.08,312.98,13.97,41.22,40.0,0.9351800554016622,0.0487499999999999,0.1538461538461538,0,9.65,0.24648,new,1,0,0,0.301886591541576,medium,2,3,1,0,0,0,0,0.0,Low,85.4931506849315
P1029,Projector,LECTURE600,lecture_hall,2020-02-26,45,45,False,0.2,2.27,2455.16,217,7,30.82,1.5,0.4,49.57,333.65,39.55,94.44,40.0,1.8172908956328644,0.0945833333333333,0.1521739130434782,1,18.75,0.29742,mature,1,0,0,0.5553096584877789,high,2,2,0,0,0,0,0,1.0,Critical,48.88698630136986
A1030,air_conditioner,CLASSROOM195,classroom,2021-11-09,23,39,False,0.2,2.26,1248.36,37,3,27.43,0.8,0.8,34.62,2054.79,13.82,14.17,80.0,1.8065991316931984,0.0941666666666666,0.125,0,7.189999999999998,0.221568,young,0,1,0,0.262218947154193,medium,0,0,2,0,0,0,0,0.0,Low,91.71575342465754
P1031,Projector,LECTURE711,lecture_hall,2021-02-10,41,26,False,1.0,10.47,10303.89,265,6,27.92,0.8,0.8,68.38,415.83,51.57,72.4,80.0,8.37034118602762,0.43625,0.1428571428571428,1,40.46,0.437632,mature,1,0,0,0.8507611481706561,critical,2,2,0,0,0,0,0,1.0,Critical,46.599315068493155
P1032,Projector,CLASSROOM990,classroom,2021-04-28,36,15,True,1.0,11.46,9903.12,144,6,30.74,1.5,0.4,56.67,379.32,50.88,126.0,40.0,9.161073080481035,0.4775,0.1621621621621621,0,25.930000000000003,0.3400200000000001,young,1,0,0,0.6300158544880156,high,2,0,2,0,0,0,0,0.0,Low,81.13698630136986
P1033,Projector,LECTURE173,lecture_hall,2022-10-27,17,12,False,1.0,3.01,1228.58,7,2,28.56,1.5,0.4,42.64,311.0,11.22,29.27,40.0,2.40426614481409,0.1254166666666666,0.1111111111111111,0,14.080000000000002,0.25584,young,1,0,0,0.2141723139566407,medium,2,2,2,0,0,0,0,0.0,Low,95.27054794520548
P1034,Projector,CLASSROOM464,classroom,2020-05-10,52,33,False,1.0,4.37,5449.83,217,8,29.55,0.8,0.8,55.53,372.95,48.19,73.13,80.0,3.491242793081358,0.1820833333333333,0.1509433962264151,1,25.98,0.3553920000000001,mature,1,0,0,0.7042374565400771,critical,2,0,0,0,0,0,0,1.0,Critical,47.13698630136986
A1035,air_conditioner,LECTURE853,lecture_hall,2020-03-13,58,51,False,0.2,1.88,2619.67,1,9,30.09,2.0,0.3,38.33,2182.29,19.72,75.58,30.0,1.5046927053417576,0.0783333333333333,0.1525423728813559,0,8.239999999999998,0.2299799999999999,mature,0,1,0,0.3477246137320307,medium,0,2,0,0,0,0,0,0.0,Low,85.43150684931507
A1036,air_conditioner,SEMINAR784,seminar_room,2020-01-11,45,38,False,0.2,0.49,525.23,149,7,26.26,0.8,0.8,39.19,2280.96,17.93,26.02,80.0,0.3887712805329386,0.0204166666666666,0.1521739130434782,0,12.929999999999996,0.250816,mature,0,1,0,0.4915384545171109,high,0,3,0,0,0,0,0,0.0,Low,78.54452054794521
P1037,Projector,LAB665,lab,2023-07-17,16,45,False,0.2,1.87,719.69,12,2,31.75,1.5,0.4,40.01,307.18,11.02,23.0,40.0,1.4962370062370065,0.0779166666666666,0.1176470588235294,0,8.259999999999998,0.24006,young,1,0,0,0.1247834576085914,low,2,1,2,0,0,0,0,0.0,Low,95.17808219178082
A1038,air_conditioner,CLASSROOM415,classroom,2022-10-11,28,5,False,1.0,2.78,1866.38,41,4,27.56,2.0,0.3,38.68,2037.19,12.01,45.0,30.0,2.219239001189061,0.1158333333333333,0.1379310344827586,0,11.12,0.2320799999999999,young,0,1,0,0.2765433110452158,medium,0,0,2,0,0,0,0,0.0,Low,90.1917808219178
A1039,air_conditioner,CLASSROOM549,classroom,2020-12-08,56,29,False,1.0,10.77,14470.33,251,9,26.27,0.8,0.8,44.78,2478.29,54.96,72.14,80.0,8.60816775728733,0.44875,0.1578947368421052,1,18.51,0.286592,mature,0,1,0,0.7854972276112587,critical,0,0,0,0,0,0,0,0.0,Low,68.8082191780822
A1040,air_conditioner,CLASSROOM953,classroom,2022-08-11,13,36,True,1.0,2.64,822.16,105,2,28.49,0.8,0.8,32.2,2202.9,16.03,12.06,80.0,2.102710997442456,0.11,0.1428571428571428,0,3.710000000000005,0.20608,young,0,1,0,0.3309865488201585,medium,0,0,2,0,0,0,0,0.0,Low,89.5582191780822
A1041,air_conditioner,LECTURE150,lecture_hall,2022-08-15,13,36,True,1.0,4.07,1270.55,288,2,26.28,0.8,0.8,35.18,1953.96,18.13,21.39,80.0,3.2494884910485933,0.1695833333333333,0.1428571428571428,1,8.899999999999999,0.225152,young,0,1,0,0.498105551010765,high,0,2,2,0,0,0,0,0.0,Low,77.02397260273972
P1042,Projector,SEMINAR335,seminar_room,2022-01-13,30,27,False,1.0,10.77,7751.91,112,5,28.88,0.8,0.8,60.98,392.26,44.89,61.96,80.0,8.603673695893452,0.44875,0.1612903225806451,0,32.099999999999994,0.390272,young,1,0,0,0.5846669419993601,high,2,3,2,0,0,0,0,1.0,Critical,59.828767123287676
A1043,air_conditioner,CLASSROOM434,classroom,2021-07-31,34,20,False,0.1,0.55,447.38,166,5,28.71,0.8,0.8,41.14,2078.75,20.83,22.17,80.0,0.4381782566111655,0.0229166666666666,0.1428571428571428,0,12.43,0.2632960000000001,young,0,1,0,0.4325028089951052,high,0,0,2,0,0,0,0,0.0,Low,80.13013698630137
A1044,air_conditioner,SEMINAR884,seminar_room,2022-07-13,20,10,False,1.0,6.59,3163.85,34,3,29.72,1.5,0.4,38.08,2066.97,15.82,33.65,40.0,5.264309484193012,0.2745833333333333,0.1428571428571428,0,8.36,0.22848,young,0,1,0,0.2668909306976308,medium,0,3,2,0,0,0,0,0.0,Low,92.67123287671232
A1045,air_conditioner,CLASSROOM459,classroom,2021-08-09,25,35,True,1.0,10.97,6580.73,195,4,29.09,0.8,0.8,47.92,2317.93,30.85,36.22,80.0,8.762623169107856,0.4570833333333333,0.1538461538461538,1,18.83,0.306688,young,0,1,0,0.568642148334802,high,0,0,2,0,0,0,0,0.0,Low,80.39383561643835
P1046,Projector,LECTURE937,lecture_hall,2023-10-01,5,9,False,1.0,6.61,792.93,46,1,28.19,1.5,0.4,47.47,331.53,7.93,21.33,40.0,5.251192052980132,0.2754166666666667,0.1666666666666666,0,19.28,0.28482,new,1,0,0,0.299529481513095,medium,2,2,1,0,0,0,0,0.0,Low,95.59931506849315
P1047,Podium,LECTURE125,lecture_hall,2024-03-15,8,45,False,0.2,1.9,364.13,253,1,31.92,1.5,0.4,30.9,175.33,20.51,38.73,40.0,1.5109128630705393,0.0791666666666666,0.1111111111111111,1,-1.0200000000000031,0.1854,new,0,0,1,0.3744165311749068,medium,1,2,1,0,0,0,0,0.0,Low,80.67123287671232
A1048,air_conditioner,LECTURE798,lecture_hall,2020-07-09,51,38,False,0.2,1.83,2235.88,111,8,31.07,0.8,0.8,37.55,2058.12,21.38,31.3,80.0,1.4604049640757677,0.07625,0.1538461538461538,0,6.479999999999997,0.24032,mature,0,1,0,0.4776538739253479,high,0,2,0,0,0,0,0,0.0,Low,79.6472602739726
P1049,Podium,LECTURE225,lecture_hall,2022-09-12,17,5,False,1.0,5.43,2215.14,25,2,30.07,2.0,0.3,32.35,159.7,16.2,43.32,30.0,4.334911937377691,0.2262499999999999,0.1111111111111111,0,2.280000000000001,0.1941,young,0,0,1,0.1368778030603042,low,1,2,2,0,0,0,0,0.0,Low,94.03767123287672
A1050,air_conditioner,CLASSROOM694,classroom,2020-09-05,41,3,False,1.0,5.37,5288.48,180,6,29.88,2.0,0.3,39.61,2106.48,26.52,96.26,30.0,4.29608448415922,0.22375,0.1428571428571428,0,9.73,0.2376599999999999,mature,0,1,0,0.5552341453518455,high,0,0,0,0,0,0,0,0.0,Low,77.42123287671232
P1051,Projector,LECTURE706,lecture_hall,2019-03-25,55,39,False,0.2,2.08,2751.71,243,9,26.11,0.8,0.8,55.4,399.53,40.98,56.34,80.0,1.6666929133858268,0.0866666666666666,0.1607142857142857,1,29.29,0.35456,mature,1,0,0,0.6638667952662083,high,2,2,0,0,0,0,0,1.0,Critical,44.60616438356165
P1052,Projector,LAB705,lab,2021-01-23,38,10,False,1.0,8.69,7922.03,194,6,29.34,1.5,0.4,63.17,356.31,48.75,133.5,40.0,6.943058720420684,0.3620833333333333,0.1538461538461538,1,33.83,0.3790200000000001,mature,1,0,0,0.6296569334529006,high,2,1,0,0,0,0,0,1.0,Critical,52.21232876712328
P1053,Projector,LECTURE189,lecture_hall,2020-08-26,38,41,False,0.2,1.56,1424.98,139,6,31.59,0.8,0.8,44.93,348.1,27.7,37.06,80.0,1.248886941279579,0.065,0.1538461538461538,0,13.34,0.287552,mature,1,0,0,0.4706785054725021,high,2,2,0,0,0,0,0,1.0,Critical,55.97945205479452
A1054,air_conditioner,LECTURE267,lecture_hall,2022-03-01,20,42,False,0.2,0.91,436.46,101,3,26.02,0.8,0.8,34.26,2226.14,17.04,13.65,80.0,0.7262229617304492,0.0379166666666666,0.1428571428571428,0,8.239999999999998,0.219264,young,0,1,0,0.3712007241171087,medium,0,2,2,0,0,0,0,0.0,Low,88.08219178082192
A1055,air_conditioner,LAB558,lab,2022-05-25,34,11,False,1.0,3.81,3110.86,35,5,31.56,1.5,0.4,38.58,1979.23,22.94,43.97,40.0,3.046875612144956,0.15875,0.1428571428571428,0,7.02,0.23148,young,0,1,0,0.4028790561125638,high,0,1,2,0,0,0,0,0.0,Low,89.1027397260274
P1056,Podium,SEMINAR264,seminar_room,2023-12-28,19,29,False,1.0,8.65,3945.3,62,3,28.15,0.8,0.8,43.54,163.46,21.82,27.51,80.0,6.909457092819615,0.3604166666666666,0.15,0,15.39,0.278656,young,0,0,1,0.330272312828784,medium,1,3,2,0,0,0,0,1.0,Critical,66.00342465753425
A1057,air_conditioner,CLASSROOM764,classroom,2022-06-16,33,9,False,1.0,5.91,4684.54,104,5,27.37,1.5,0.4,40.23,2196.86,26.25,56.84,40.0,4.727083753784057,0.24625,0.1470588235294117,0,12.859999999999996,0.24138,young,0,1,0,0.450603562491968,high,0,0,2,0,0,0,0,0.0,Low,84.62671232876713
P1058,Projector,SEMINAR388,seminar_room,2021-01-19,39,14,False,1.0,7.73,7236.69,157,6,26.91,1.5,0.4,59.26,342.96,51.1,130.42,40.0,6.179923142613151,0.3220833333333333,0.15,0,32.349999999999994,0.35556,mature,1,0,0,0.6411029865041417,high,2,3,0,0,0,0,0,0.0,Low,79.49657534246575
P1059,Projector,SEMINAR258,seminar_room,2021-03-30,45,50,False,0.2,0.65,707.38,184,7,29.01,2.0,0.3,46.49,342.62,31.92,96.79,30.0,0.5235973353071799,0.0270833333333333,0.1521739130434782,1,17.48,0.27894,mature,1,0,0,0.5636367553235664,high,2,3,0,0,0,0,0,1.0,Critical,51.147260273972606
A1060,air_conditioner,CLASSROOM893,classroom,2024-05-18,5,42,False,0.2,2.05,246.43,254,1,31.45,0.8,0.8,33.38,2292.87,14.58,13.95,80.0,1.6319867549668874,0.0854166666666666,0.1666666666666666,1,1.9300000000000035,0.213632,new,0,1,0,0.3424915239781881,medium,0,0,1,0,0,0,0,0.0,Low,81.3527397260274
A1061,air_conditioner,LECTURE927,lecture_hall,2022-09-16,12,37,False,0.2,0.6,174.07,133,2,31.53,0.8,0.8,30.02,1939.01,13.05,11.18,80.0,0.4821883656509695,0.0249999999999999,0.1538461538461538,0,-1.5100000000000016,0.192128,new,0,1,0,0.2656185924208093,medium,0,2,1,0,0,0,0,0.0,Low,87.89041095890411
A1062,air_conditioner,LAB825,lab,2024-05-14,1,24,False,1.0,3.13,75.18,110,1,27.12,0.8,0.8,34.54,1929.88,7.22,5.49,80.0,2.4251612903225808,0.1304166666666666,0.5,0,7.419999999999998,0.221056,new,0,1,0,0.2167802317091845,medium,0,1,1,0,0,0,0,0.0,Low,92.21575342465754
P1063,Projector,SEMINAR765,seminar_room,2019-09-20,52,52,False,0.2,1.47,1840.54,75,8,31.54,2.0,0.3,46.14,343.38,30.71,99.34,30.0,1.1790775144138372,0.06125,0.1509433962264151,0,14.6,0.27684,mature,1,0,0,0.3911514629859687,medium,2,3,0,0,0,0,0,1.0,Critical,56.86301369863014
P1064,Podium,LECTURE124,lecture_hall,2024-07-30,6,4,False,1.0,2.34,336.79,161,1,28.17,2.0,0.3,28.44,172.73,13.2,36.2,30.0,1.860718232044199,0.0974999999999999,0.1428571428571428,0,0.2699999999999996,0.17064,new,0,0,1,0.2803170287770675,medium,1,2,1,0,0,0,0,0.0,Low,87.47260273972603
P1065,Podium,CLASSROOM868,classroom,2022-09-18,30,10,False,1.0,9.5,6839.72,211,5,28.1,1.5,0.4,43.65,184.55,41.76,100.17,40.0,7.591254162042175,0.3958333333333333,0.1612903225806451,1,15.549999999999995,0.2619,young,0,0,1,0.6205075616634906,high,1,0,2,0,0,0,0,1.0,Critical,53.04794520547945
P1066,Projector,SEMINAR293,seminar_room,2021-11-21,28,10,False,1.0,6.81,4576.91,222,4,29.36,1.5,0.4,53.63,397.49,38.78,108.21,40.0,5.442223543400713,0.28375,0.1379310344827586,1,24.270000000000003,0.32178,young,1,0,0,0.5875856397356527,high,2,3,2,0,0,0,0,1.0,Critical,52.79452054794521
A1067,air_conditioner,LECTURE575,lecture_hall,2024-07-02,7,5,False,1.0,8.59,1442.99,247,1,27.52,2.0,0.3,36.91,2134.54,14.41,44.06,30.0,6.8388151658767775,0.3579166666666666,0.125,1,9.389999999999995,0.2214599999999999,new,0,1,0,0.5432872629560178,high,0,2,1,0,0,0,0,0.0,Low,81.33219178082192
P1068,Podium,CLASSROOM363,classroom,2021-07-18,35,22,False,1.0,4.43,3722.65,78,5,29.62,0.8,0.8,37.6,163.22,27.64,34.09,80.0,3.5420076117982875,0.1845833333333333,0.1388888888888889,0,7.98,0.24064,young,0,0,1,0.376958183823449,medium,1,0,2,0,0,0,0,0.0,Low,85.90753424657534
P1069,Podium,LECTURE647,lecture_hall,2023-04-22,18,41,False,0.2,2.19,944.07,197,3,28.05,0.8,0.8,26.82,159.63,17.75,24.11,80.0,1.7450462107208873,0.09125,0.1578947368421052,1,-1.2300000000000004,0.171648,young,0,0,1,0.2898959240009366,medium,1,2,2,0,0,0,0,1.0,Critical,57.00684931506849
A1070,air_conditioner,CLASSROOM325,classroom,2021-10-21,44,23,False,1.0,4.2,4430.03,280,7,26.69,0.8,0.8,41.96,2166.82,31.29,41.86,80.0,3.353542770628312,0.175,0.1555555555555555,1,15.27,0.268544,mature,0,1,0,0.6637824794205959,high,0,0,0,0,0,0,0,0.0,Low,69.82191780821918
A1071,air_conditioner,CLASSROOM300,classroom,2021-04-09,43,42,False,0.2,1.24,1283.2,154,7,29.15,0.8,0.8,33.57,2105.54,26.31,27.47,80.0,0.9939581719597212,0.0516666666666666,0.1590909090909091,0,4.420000000000002,0.214848,mature,0,1,0,0.5213098069883806,high,0,0,0,0,0,0,0,0.0,Low,78.70205479452055
A1072,air_conditioner,LECTURE116,lecture_hall,2021-08-28,25,37,False,0.2,1.39,836.96,76,4,27.24,0.8,0.8,29.71,2159.63,11.51,15.61,80.0,1.1144607190412783,0.0579166666666666,0.1538461538461538,0,2.4700000000000024,0.190144,young,0,1,0,0.2957654634531813,medium,0,2,2,0,0,0,0,0.0,Low,88.54452054794521
A1073,air_conditioner,CLASSROOM733,classroom,2023-11-15,2,2,False,1.0,3.66,175.82,193,1,26.5,2.0,0.3,37.9,1968.23,9.04,24.62,30.0,2.882295081967213,0.1525,0.3333333333333333,1,11.4,0.2274,new,0,1,0,0.4502339044764552,high,0,0,1,0,0,0,0,0.0,Low,86.28082191780823
A1074,air_conditioner,LECTURE326,lecture_hall,2021-12-03,34,38,False,0.2,1.19,973.73,152,5,31.62,0.8,0.8,38.84,1977.27,20.31,22.95,80.0,0.9537022526934378,0.0495833333333333,0.1428571428571428,0,7.220000000000002,0.248576,young,0,1,0,0.2876059558563851,medium,0,2,2,0,0,0,0,0.0,Low,81.08904109589041
P1075,Podium,LECTURE812,lecture_hall,2023-05-11,17,40,False,0.2,1.23,500.04,61,2,30.13,0.8,0.8,24.74,149.26,16.04,12.87,80.0,0.9785518590998044,0.05125,0.1111111111111111,0,-5.390000000000001,0.158336,young,0,0,1,0.2553246425051278,medium,1,2,2,0,0,0,0,1.0,Critical,66.57191780821918
P1076,Projector,CLASSROOM374,classroom,2020-04-09,44,47,False,0.2,2.01,2127.69,17,7,31.7,1.5,0.4,47.74,362.63,28.88,62.43,40.0,1.610666161998486,0.0837499999999999,0.1555555555555555,0,16.040000000000003,0.28644,mature,1,0,0,0.388702725518276,medium,2,0,0,0,0,0,0,1.0,Critical,62.83561643835617
