,predicted_failure_prob,predicted_urgency,age_months,equipment_type
3293,0.7378553037906478,critical,52,projector
3091,0.7374156915203008,critical,45,projector
1970,0.7368977178778545,critical,50,projector
1374,0.7368768709864595,critical,45,air_conditioner
790,0.7367278578827039,critical,38,projector
1695,0.7363349876708256,critical,49,projector
1179,0.7357135711784717,critical,33,projector
2627,0.7356899163392462,critical,37,projector
3675,0.734812781966747,critical,43,air_conditioner
1958,0.7344409956209619,critical,55,projector
2824,0.7336375922120093,critical,58,projector
123,0.7336246135700845,critical,54,projector
3983,0.7336201741414919,critical,52,projector
2436,0.7336068285792547,critical,58,air_conditioner
1034,0.7332584364974593,critical,48,projector
3959,0.732666449560978,critical,55,air_conditioner
1540,0.7325380802610661,critical,25,projector
92,0.7324988151371841,critical,47,projector
4742,0.7321730631040565,critical,28,projector
3424,0.7318193519689278,critical,58,air_conditioner
2264,0.7317950638885357,critical,52,projector
2042,0.7305776096788688,critical,58,projector
4851,0.730220811931832,critical,36,projector
4667,0.730102503043003,critical,35,projector
4270,0.7300791847181648,critical,48,air_conditioner
2018,0.7292622380312009,critical,50,air_conditioner
1753,0.7290944703139884,critical,51,projector
2526,0.7290004405674535,critical,55,air_conditioner
3412,0.7288142098382965,critical,36,projector
4966,0.7280062518155392,critical,53,projector
1412,0.7276696881265846,critical,50,projector
1117,0.727112329991472,critical,39,air_conditioner
1485,0.7266744597298759,critical,53,air_conditioner
3002,0.7264048199144693,critical,59,air_conditioner
4428,0.7257287115667755,critical,56,air_conditioner
183,0.7237064545488501,critical,44,projector
2510,0.72291363875679,critical,56,podium
2863,0.7227127008970313,critical,42,projector
258,0.7222525984467147,critical,59,projector
4940,0.7221224784081408,critical,45,projector
496,0.7217007060005161,critical,32,projector
2280,0.7201403174899913,critical,55,projector
1194,0.7190810843044574,critical,46,air_conditioner
1645,0.7183753411134286,critical,58,projector
3689,0.7183373103018067,critical,33,projector
3037,0.7175582548179277,critical,39,air_conditioner
3358,0.7174113867324281,critical,35,projector
1930,0.7172456766003693,critical,57,projector
2233,0.717216321183869,critical,58,air_conditioner
3976,0.7168381875118762,critical,59,podium
470,0.716624028542524,critical,43,projector
1272,0.716289814913714,critical,39,air_conditioner
1245,0.71623017525091,critical,26,projector
2786,0.7158759932726348,critical,57,projector
2630,0.7158495719166867,critical,46,projector
2104,0.7152075765415181,critical,58,air_conditioner
4005,0.7151792894533933,critical,50,air_conditioner
4477,0.7149943512816223,critical,52,air_conditioner
2869,0.7148081715396587,critical,50,projector
3792,0.7141928365763662,critical,52,projector
2301,0.7139806764331689,critical,47,podium
4898,0.7137205229867947,critical,57,air_conditioner
471,0.7133900871177198,critical,45,projector
3301,0.7129469086465662,critical,57,air_conditioner
3173,0.7128334558517085,critical,43,projector
511,0.7127844527246997,critical,58,podium
4597,0.7124675247334541,critical,52,projector
4335,0.7121959538625691,critical,26,projector
1604,0.712138936316797,critical,55,podium
3277,0.7120128005922428,critical,58,air_conditioner
4028,0.7117640112705687,critical,44,projector
4548,0.7114089948648565,critical,50,podium
3239,0.7108654866176388,critical,40,projector
2462,0.7105256310264471,critical,57,projector
4920,0.7079737253033467,critical,51,projector
3703,0.7073607518280375,critical,59,podium
2764,0.707306851185092,critical,30,projector
4463,0.7068086528014462,critical,48,projector
4343,0.7065365574331552,critical,48,projector
115,0.7064021775387866,critical,49,air_conditioner
4531,0.7061115943850262,critical,56,air_conditioner
386,0.7059698430491962,critical,34,air_conditioner
807,0.7058187847834805,critical,45,podium
1378,0.7056508074915335,critical,32,projector
3159,0.7054213440582253,critical,43,projector
1522,0.7052935657538038,critical,34,projector
3455,0.7050789567008209,critical,33,projector
4254,0.7049037992751893,critical,55,air_conditioner
2647,0.704848252412528,critical,58,air_conditioner
3235,0.7048315207282927,critical,34,air_conditioner
4201,0.7044359668237229,critical,52,air_conditioner
2445,0.7034438866667805,critical,58,projector
2088,0.703406653271093,critical,35,projector
4265,0.7031881113274008,critical,48,projector
348,0.7031757474973966,critical,50,projector
600,0.7026462016142442,critical,57,projector
4656,0.7013197491134856,critical,59,projector
2187,0.7011429002747487,critical,36,air_conditioner
3700,0.7007732175233146,critical,41,projector
4306,0.7005831813888377,critical,56,projector
78,0.700125832456303,critical,53,air_conditioner
4773,0.7000071646055143,critical,37,projector
4783,0.6997227793458625,high,58,projector
1320,0.6990739346168381,high,56,projector
1222,0.6989179022339741,high,49,projector
3977,0.6986320964160863,high,44,projector
2753,0.6978958001506909,high,45,air_conditioner
2446,0.6978503796338094,high,49,projector
2741,0.697534434446192,high,58,projector
3024,0.6973937074851688,high,51,air_conditioner
3142,0.6972719031730835,high,32,projector
3046,0.6970685444291018,high,56,podium
12,0.6970662627065041,high,55,air_conditioner
478,0.6969531657542681,high,46,projector
3321,0.6966883450548718,high,49,air_conditioner
1312,0.6965527538974813,high,38,projector
2794,0.6964883689194189,high,52,projector
1756,0.6960271256156174,high,43,air_conditioner
4398,0.6957339822441982,high,46,projector
3081,0.6945548632049878,high,20,projector
3276,0.6943416155147493,high,57,projector
1319,0.6941791735013908,high,41,air_conditioner
4671,0.6939630540640622,high,53,air_conditioner
2910,0.6932061582253203,high,48,projector
1718,0.6928670015629683,high,58,air_conditioner
1843,0.6923957941375526,high,45,air_conditioner
1499,0.6918722533020659,high,56,air_conditioner
3950,0.691723827789505,high,48,air_conditioner
2716,0.6914960956643996,high,59,air_conditioner
1285,0.6910160797113117,high,39,air_conditioner
588,0.6905560735895039,high,58,podium
4362,0.6902566785812798,high,53,air_conditioner
1276,0.6901500804662232,high,59,projector
136,0.6900301482729446,high,53,projector
3985,0.6898938519515173,high,37,projector
1067,0.6896646125606664,high,57,projector
3521,0.6896078230706879,high,59,projector
2586,0.6892894392744189,high,54,projector
4296,0.6892073911520501,high,58,air_conditioner
3415,0.6890907181553602,high,29,air_conditioner
2625,0.6887183346103807,high,56,projector
3439,0.6883852250535386,high,47,projector
4485,0.6881974035791484,high,43,air_conditioner
1615,0.6877981316006756,high,37,projector
4116,0.6877946162462925,high,49,air_conditioner
311,0.6865500175754994,high,47,projector
823,0.6862255954060082,high,57,projector
1466,0.6862212030622078,high,45,air_conditioner
2032,0.6862125500600419,high,57,projector
3465,0.6859770131136829,high,54,podium
2545,0.6859230696812916,high,46,projector
3879,0.6858246882908604,high,36,air_conditioner
4205,0.6854954631735369,high,35,projector
2365,0.6851893536681547,high,46,air_conditioner
2539,0.6851616798744415,high,55,podium
1359,0.6850598861215572,high,55,projector
1811,0.6850262733724851,high,59,projector
4094,0.6846909685424741,high,44,projector
4745,0.6845850235073967,high,52,projector
4515,0.6833395873802489,high,34,projector
3269,0.6831193344458704,high,54,air_conditioner
1530,0.6830227847647842,high,53,projector
2117,0.6827817286673754,high,40,air_conditioner
4853,0.682446673867567,high,25,air_conditioner
4416,0.6818960470696733,high,42,projector
457,0.6818518990803116,high,42,podium
2420,0.6814499814887282,high,43,projector
2349,0.6810233222861732,high,59,projector
226,0.6809751932787167,high,48,podium
4450,0.6804483969600645,high,51,air_conditioner
1799,0.6801565535028816,high,42,projector
2139,0.6797984333786232,high,18,projector
2569,0.6792702247731714,high,32,projector
4840,0.6792429686982823,high,47,projector
4842,0.6786894906725937,high,55,projector
1380,0.6782522227036437,high,55,air_conditioner
2720,0.6777356633248689,high,41,projector
4066,0.6775061355342195,high,45,projector
3857,0.6773695477480957,high,24,projector
763,0.6773610759430341,high,33,projector
118,0.6771302741992374,high,46,projector
4100,0.677090408151476,high,41,projector
605,0.6770706794807698,high,37,projector
701,0.6770305818679216,high,48,air_conditioner
4218,0.6767406878846006,high,48,projector
2790,0.6766588552016013,high,51,projector
4374,0.6763934965997082,high,37,air_conditioner
4946,0.6763491905215775,high,45,projector
562,0.6762918165563192,high,22,projector
857,0.6762306886807726,high,55,air_conditioner
4895,0.6760138129464142,high,52,air_conditioner
3701,0.675949182152697,high,50,podium
4797,0.6759194464206237,high,59,projector
4474,0.6756237859294861,high,44,projector
3788,0.6754390974190553,high,27,projector
1772,0.6753444713815846,high,39,projector
706,0.6747313284264315,high,44,projector
3813,0.6746552174132999,high,47,projector
2369,0.6744049076516166,high,47,air_conditioner
2358,0.6741930853616986,high,47,projector
3928,0.6741409128280654,high,46,air_conditioner
3846,0.6740191178238222,high,57,projector
3753,0.6739929319285378,high,57,projector
3114,0.6738435896028439,high,37,air_conditioner
937,0.6737707023470983,high,26,projector
4953,0.6737053413051134,high,59,projector
893,0.6736584514345044,high,48,projector
3238,0.6734926750524424,high,58,air_conditioner
3215,0.6734586933887593,high,54,podium
4017,0.6730599696649225,high,39,projector
3596,0.6726704243448471,high,31,air_conditioner
4970,0.6725281291445367,high,51,air_conditioner
51,0.6724828905540412,high,55,projector
1186,0.6722687751668585,high,38,projector
1470,0.6719268610827113,high,49,projector
230,0.6717611174579009,high,40,podium
3550,0.6713946943066789,high,43,air_conditioner
405,0.671263371928534,high,49,projector
4020,0.6706934158251365,high,46,projector
52,0.6706374306395346,high,38,projector
138,0.6703830631086986,high,49,air_conditioner
1335,0.6700568625241089,high,53,projector
532,0.6697626575643257,high,55,air_conditioner
2596,0.6693936536956858,high,50,projector
2463,0.6693855619981995,high,44,air_conditioner
3571,0.6692620995733494,high,54,podium
2190,0.6692251466855764,high,30,projector
4567,0.6692182702194773,high,56,air_conditioner
1909,0.6687712456922792,high,32,podium
3994,0.6680731413651406,high,54,projector
4655,0.6676326093365071,high,58,podium
2593,0.6676155987467737,high,59,air_conditioner
347,0.6675854068396425,high,53,projector
2947,0.6674790802371926,high,54,projector
4863,0.667002080473541,high,51,projector
454,0.6668692953457196,high,26,projector
1015,0.6667398707106471,high,47,projector
4643,0.6665347517223165,high,58,projector
4366,0.665894019020334,high,49,air_conditioner
3626,0.6658853842612461,high,52,air_conditioner
4498,0.6657022306500296,high,21,air_conditioner
4124,0.6655229805355696,high,44,projector
4587,0.6653904150896967,high,25,projector
3873,0.6647902683878367,high,35,projector
3092,0.6647401823253053,high,58,air_conditioner
2683,0.6646051805904715,high,49,projector
1786,0.6645881696706071,high,40,projector
4141,0.6640668727239212,high,31,projector
4789,0.6635790434126,high,55,air_conditioner
4466,0.6634733337439045,high,49,projector
1730,0.6630811530102843,high,33,projector
214,0.6627526835063738,high,27,projector
2795,0.6626794601773128,high,59,projector
539,0.6625582841398087,high,38,air_conditioner
4075,0.6622303412306243,high,43,podium
1468,0.6621940609938077,high,56,projector
2175,0.6621550787882543,high,50,projector
34,0.6621210013802449,high,52,projector
702,0.6621027331940847,high,28,projector
4088,0.6620915097328156,high,32,air_conditioner
943,0.6618845276915744,high,56,projector
1765,0.6617609514676184,high,43,projector
1196,0.6614129329442805,high,16,projector
2826,0.6614098892254398,high,45,projector
2415,0.6612267121335924,high,28,projector
4347,0.661187340827577,high,54,air_conditioner
4363,0.661156541980005,high,39,air_conditioner
770,0.6609922146924601,high,34,projector
1587,0.6604577753499133,high,45,projector
2040,0.6604376808460144,high,50,projector
247,0.6603733331748671,high,36,projector
1240,0.6603419258844251,high,34,projector
538,0.6602783601239699,high,43,air_conditioner
372,0.660272379626243,high,59,podium
777,0.659899756339801,high,43,projector
2832,0.659634642649329,high,53,projector
3739,0.6593785929442892,high,51,projector
526,0.6591337689084342,high,59,projector
816,0.6591177582295227,high,48,air_conditioner
4286,0.6587068848863066,high,59,projector
335,0.6584868465929218,high,39,air_conditioner
1369,0.6583869408299384,high,53,air_conditioner
3991,0.6576250546613082,high,18,projector
215,0.6574666789457857,high,44,projector
1073,0.6573379410050074,high,58,podium
4884,0.6570412674710557,high,35,projector
254,0.6569186945740242,high,19,projector
125,0.6567352903571123,high,58,projector
567,0.6564117221927213,high,46,projector
2086,0.6563873252781447,high,53,projector
14,0.6563685089258542,high,30,air_conditioner
4170,0.6560069781940541,high,59,air_conditioner
1563,0.6559285119044725,high,59,projector
617,0.6557857220737504,high,55,projector
4803,0.6557800281203713,high,50,projector
4910,0.6557496751814279,high,51,podium
3631,0.655436346551688,high,34,air_conditioner
2275,0.6546423029664509,high,32,air_conditioner
781,0.6546090548771584,high,33,projector
1019,0.6543561377779723,high,56,projector
3138,0.6542585363431136,high,55,air_conditioner
4125,0.654207393489874,high,26,projector
4024,0.6541677411990636,high,48,air_conditioner
4221,0.6535354445724352,high,57,podium
2901,0.6534793429235638,high,11,projector
2329,0.6529843119195411,high,48,air_conditioner
4137,0.6527145244711631,high,54,air_conditioner
407,0.6526897983056433,high,31,projector
4782,0.6526786007749059,high,34,projector
3633,0.652676277923667,high,46,projector
3854,0.6523575327758114,high,46,projector
592,0.6519471138330997,high,52,air_conditioner
2456,0.6519198617643885,high,39,air_conditioner
3345,0.6518826454558253,high,51,projector
1667,0.6518238602263381,high,55,projector
2610,0.6516650698572988,high,39,podium
3119,0.6511924650621405,high,59,air_conditioner
3849,0.6511860039599799,high,57,projector
1539,0.6509052352679614,high,25,air_conditioner
328,0.6507042326789023,high,58,air_conditioner
3237,0.6506431769476045,high,57,projector
1043,0.6503703630500007,high,46,projector
282,0.6502591637472248,high,29,air_conditioner
3817,0.6501378926285207,high,54,air_conditioner
3414,0.6499945853435997,high,52,air_conditioner
1449,0.6499611811705082,high,36,podium
4298,0.6498236595112713,high,27,projector
1777,0.6494041500148107,high,52,projector
4942,0.6493626655675726,high,42,air_conditioner
1729,0.6491358088229072,high,58,projector
2472,0.6487759654352903,high,57,projector
2344,0.6487356792698505,high,14,projector
3307,0.6485308223638736,high,54,podium
1682,0.6478117226419723,high,36,air_conditioner
2201,0.6478026407915831,high,31,projector
3803,0.647745741207412,high,44,air_conditioner
2782,0.6476391214934046,high,58,projector
1059,0.6475321929314686,high,46,air_conditioner
2305,0.6475088529369797,high,31,projector
4329,0.6473996876178552,high,47,projector
1064,0.6473908424145745,high,31,projector
1324,0.6473233248404064,high,51,air_conditioner
3263,0.6471717550359379,high,49,air_conditioner
3080,0.6466189513333738,high,30,air_conditioner
2166,0.6464994114115741,high,46,projector
2368,0.6463911753011057,high,30,projector
2944,0.6463589941754072,high,49,air_conditioner
3072,0.6462634951399192,high,27,projector
1246,0.6460895780397179,high,40,projector
3808,0.6460644118970718,high,36,air_conditioner
4705,0.645869752586716,high,46,projector
2106,0.6457280851256214,high,35,projector
2257,0.6456338570759662,high,59,projector
2793,0.6456158180838796,high,24,air_conditioner
3732,0.6453302017614305,high,37,air_conditioner
4469,0.6449920452464084,high,52,projector
1763,0.6448499970875224,high,49,projector
1908,0.6444522370032642,high,58,air_conditioner
4410,0.6444044270310879,high,36,projector
447,0.6443914926564732,high,42,podium
913,0.6439376303367619,high,30,air_conditioner
2886,0.6436983314502882,high,51,air_conditioner
768,0.6435615899404811,high,57,projector
1838,0.6434106104488043,high,47,air_conditioner
1696,0.6433887597756267,high,45,podium
1111,0.6432780190615576,high,58,projector
80,0.6430062451257068,high,45,air_conditioner
558,0.642788898485013,high,40,air_conditioner
2520,0.6427486224177009,high,53,projector
4715,0.642593911392917,high,50,projector
430,0.6424583959364761,high,58,air_conditioner
210,0.6424437160911853,high,53,air_conditioner
4004,0.6421612646493416,high,51,projector
3398,0.6421382059431227,high,49,air_conditioner
748,0.6421194247146161,high,59,podium
727,0.6420339105964112,high,57,projector
1872,0.6420152353254953,high,47,projector
3925,0.6419149880057318,high,47,projector
1497,0.6417718199701635,high,14,projector
586,0.6414845878945946,high,19,projector
1368,0.6414393716717848,high,47,air_conditioner
2179,0.6413565355201826,high,56,podium
70,0.64133890469248,high,44,air_conditioner
2713,0.6413060109531018,high,21,air_conditioner
1381,0.6411900910184469,high,24,air_conditioner
3917,0.6411725440593373,high,44,projector
1728,0.6409836620143575,high,38,projector
2649,0.6403812178832302,high,41,projector
3296,0.6403423673449252,high,41,projector
899,0.6403113762214399,high,34,projector
459,0.640306605979242,high,42,podium
1180,0.6402839169884533,high,53,projector
1001,0.6398634446826909,high,47,projector
436,0.6397260143149401,high,41,projector
569,0.6393132640055313,high,58,projector
1296,0.6392773852405063,high,38,projector
4408,0.6391853489396628,high,37,projector
1754,0.6390084081313294,high,34,air_conditioner
1057,0.6389806530883319,high,37,air_conditioner
1350,0.6388268228130392,high,55,air_conditioner
4328,0.6385207199194065,high,35,podium
1648,0.6384749310146712,high,45,projector
509,0.6382158570810829,high,49,podium
4229,0.638100681243699,high,29,projector
745,0.637869538395325,high,35,projector
687,0.6377806053447924,high,28,projector
1596,0.6376104736768624,high,36,podium
2760,0.637610202861265,high,42,air_conditioner
1883,0.6373746850174218,high,48,projector
4081,0.637280672066461,high,57,air_conditioner
3841,0.6369656766267113,high,38,projector
2816,0.6366746266148621,high,34,air_conditioner
650,0.6366498362649731,high,59,podium
2600,0.6365556211819489,high,57,projector
2885,0.6363993599837088,high,56,air_conditioner
293,0.636356496472523,high,51,projector
927,0.6362826017810346,high,49,projector
3272,0.6362731149778504,high,41,air_conditioner
516,0.636218857475496,high,24,projector
3735,0.6361661125865162,high,48,projector
2118,0.6359092508184757,high,19,air_conditioner
856,0.635852104658536,high,33,projector
4255,0.6357066220729852,high,48,podium
1182,0.6356812485810733,high,58,air_conditioner
2759,0.6355619678695451,high,57,projector
2268,0.6355179328420157,high,57,podium
2962,0.6354908553942955,high,43,air_conditioner
4233,0.6346609746968959,high,48,projector
4376,0.6346357602525722,high,58,projector
829,0.6345968274744719,high,56,projector
285,0.6341618847592224,high,51,podium
1890,0.6339382637969212,high,14,air_conditioner
412,0.6339087692700915,high,45,projector
566,0.6337534745766832,high,54,projector
4954,0.6335748053848792,high,35,air_conditioner
1835,0.6332075400067527,high,52,projector
1742,0.633015688693806,high,26,projector
239,0.6330055650792498,high,42,podium
2877,0.6328666076187413,high,57,air_conditioner
1924,0.6326550085161445,high,57,projector
4790,0.6324533810000229,high,32,projector
1787,0.6323626583219917,high,52,projector
2657,0.6322544772048582,high,56,projector
1137,0.631967094830759,high,50,projector
3302,0.6317124641421694,high,16,projector
4148,0.6316670660885404,high,35,air_conditioner
1694,0.6315045011101309,high,42,podium
2113,0.6314071184428677,high,33,projector
1498,0.6314064008017016,high,57,projector
1677,0.6311610404908061,high,46,podium
1045,0.6305908043353375,high,27,projector
1262,0.6305700042865094,high,58,podium
1493,0.6304333084566431,high,41,air_conditioner
4881,0.6304017740205359,high,19,air_conditioner
1478,0.6303851442117726,high,39,podium
2984,0.6301185163287574,high,57,projector
1287,0.6298927355235203,high,47,projector
2890,0.629723905989727,high,24,air_conditioner
4612,0.6291963922356554,high,50,air_conditioner
3882,0.6288589891230624,high,37,projector
1767,0.6287413616774054,high,53,projector
58,0.6287265033048889,high,39,projector
379,0.6287095606793591,high,37,projector
4967,0.6286981264261452,high,58,podium
2682,0.6286383857398309,high,52,air_conditioner
376,0.6286170067772354,high,58,air_conditioner
148,0.6281353879771746,high,54,podium
612,0.6281313091090232,high,55,podium
4743,0.628040181239648,high,45,projector
2145,0.6279484443072184,high,34,projector
778,0.6279223779625294,high,58,air_conditioner
4337,0.6277547216642262,high,31,projector
362,0.6277544857425562,high,47,podium
4756,0.6276804652299606,high,36,air_conditioner
2544,0.6274534767686736,high,32,podium
1741,0.6271113893464505,high,37,podium
1941,0.6267677530627805,high,54,projector
2328,0.6265765364963605,high,54,projector
2756,0.6265438548794984,high,14,projector
435,0.6265258219450023,high,58,air_conditioner
3956,0.6264328850116486,high,54,projector
1805,0.626384128296361,high,36,air_conditioner
2342,0.6261359136652306,high,26,projector
4164,0.626037441620962,high,45,projector
3492,0.6260145432978951,high,56,podium
4389,0.6257674693986213,high,26,air_conditioner
1195,0.6256724055702307,high,54,air_conditioner
4557,0.6256662253634911,high,48,podium
2642,0.6255393163931943,high,49,projector
634,0.6253782453563483,high,53,projector
618,0.6253501440752647,high,41,projector
4947,0.6251345856674537,high,41,projector
533,0.6251251046479057,high,58,air_conditioner
1135,0.625076041960588,high,18,air_conditioner
4436,0.6250204121836648,high,39,projector
3268,0.6249889872046128,high,52,podium
79,0.6247916327853135,high,45,air_conditioner
1733,0.6247294347234467,high,35,projector
3421,0.6244397859880128,high,50,air_conditioner
4725,0.6242774069098026,high,33,air_conditioner
23,0.6242422917731508,high,47,air_conditioner
1123,0.6240830767546076,high,50,air_conditioner
3565,0.6239051139746654,high,47,projector
231,0.6237586100035123,high,48,air_conditioner
1183,0.6235603170784398,high,15,air_conditioner
32,0.6233661756640311,high,36,projector
4752,0.6233163355145387,high,44,air_conditioner
1301,0.6232237956518846,high,58,air_conditioner
1976,0.6231685122220408,high,47,podium
1678,0.6230726454495137,high,44,projector
2686,0.623022001113752,high,44,air_conditioner
595,0.622908377326015,high,43,air_conditioner
4108,0.6226391495700895,high,45,podium
846,0.6225996545303673,high,35,projector
1849,0.6224314015002103,high,15,projector
3683,0.6221562488618673,high,46,projector
3011,0.6221071090684996,high,42,projector
678,0.6220296453904661,high,19,projector
3123,0.6213509778735717,high,43,air_conditioner
2413,0.6213438074302555,high,59,air_conditioner
4282,0.6212002145484927,high,40,podium
894,0.6210643273883523,high,55,air_conditioner
2595,0.6208385502818728,high,56,air_conditioner
4521,0.620776595749597,high,42,projector
4625,0.6206956692236157,high,49,projector
1990,0.6205667851488678,high,59,podium
2182,0.6204589273582717,high,57,podium
2992,0.6204050305355486,high,11,projector
2031,0.6201898509253738,high,5,projector
2163,0.6200900199187224,high,33,air_conditioner
931,0.6200895487418504,high,44,air_conditioner
905,0.620057269389719,high,30,projector
1037,0.6198439612130116,high,39,air_conditioner
2780,0.6197796330148447,high,44,projector
1308,0.6195552800029606,high,45,projector
877,0.6195228899320993,high,41,podium
1167,0.6194981769367138,high,56,projector
4927,0.6192980901438425,high,20,air_conditioner
4151,0.6192496268152073,high,47,projector
1002,0.6192270438533166,high,44,air_conditioner
469,0.6191714290476751,high,24,air_conditioner
2428,0.6190718884999533,high,34,projector
2397,0.6190080565040436,high,30,projector
3440,0.6190001351656086,high,50,air_conditioner
1265,0.6188630859913975,high,52,projector
4488,0.6188441215601188,high,33,projector
4305,0.618806309791251,high,32,projector
1052,0.6187365756861122,high,51,air_conditioner
1855,0.6185091377001208,high,52,projector
4535,0.6184788417422328,high,37,projector
2458,0.6182610346632726,high,47,projector
4945,0.6182334230994354,high,51,podium
4795,0.6182241328148704,high,57,air_conditioner
1443,0.6181702488333891,high,19,projector
1861,0.6181697762205762,high,52,podium
1062,0.6180035120120464,high,24,projector
4631,0.6179135019779028,high,57,projector
1372,0.6178886285023084,high,54,podium
1338,0.6177967252034821,high,52,air_conditioner
3391,0.6176390880672765,high,38,projector
2028,0.6173290501972218,high,25,projector
2008,0.6167334979865726,high,44,podium
3744,0.6167256695822545,high,40,projector
